candidate_id,formula_pretty,chemsys,origin_requested_chemsys,matched_query_chemsys,retrieval_mode,requested_overlap_score,n_elements,assigned_family,family_match,complexity_score,complexity_threshold,passed_complexity_gate,rejection_stage,rejection_reason,survives_baseline,case_id
mp-1025009,CoNiSb,Co-Ni-Sb,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226172,CoNiSb,Co-Ni-Sb,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226120,CoNiSb6,Co-Ni-Sb,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-20237,CoNiSn,Co-Ni-Sn,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1226006,CoSi4Ni,Co-Ni-Si,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226011,CoSi4Ni3,Co-Ni-Si,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1102115,CoSiNi,Co-Ni-Si,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1225312,DyCoNi,Co-Dy-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-10883,AlCrCo2,Al-Co-Cr,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1008277,CrCo2As,As-Co-Cr,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1018080,CrCo2Bi,Bi-Co-Cr,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1183740,CrCo2Ge,Co-Cr-Ge,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1018082,CrCo2Sb,Co-Cr-Sb,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1008224,CrCo2Si,Co-Cr-Si,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1206397,CrCoAs,As-Co-Cr,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1206044,CrCoBr3,Br-Co-Cr,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-10394,CrCoGe,Co-Cr-Ge,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226287,CrCoPt2,Co-Cr-Pt,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-570863,CrCoPt2,Co-Cr-Pt,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1095673,CrCoSi,Co-Cr-Si,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226249,CrCoSi2,Co-Cr-Si,Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
